UDI,Product ID,Type,Air temperature [°C],Process temperature [°C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
61,L47240,L,25.65,35.95,1393,52.6,167,0,No Failure
62,M14921,M,25.65,35.85,1592,38.2,169,0,No Failure
63,L47242,L,25.65,35.85,1829,22.9,172,0,No Failure
64,M14923,M,25.75,35.85,1812,25.9,174,0,No Failure
65,L47244,L,25.85,35.95,1523,38.6,177,0,No Failure
66,L47245,L,25.85,35.95,1394,45.1,179,0,No Failure
67,M14926,M,25.75,35.75,1679,28.7,181,0,No Failure
68,H29481,H,25.65,35.75,1466,44.1,184,0,No Failure
69,L47248,L,25.65,35.75,1527,32.4,189,0,No Failure
70,L47249,L,25.75,35.85,1410,65.7,191,1,Power Failure
71,M14930,M,25.75,35.85,1924,22.6,193,0,No Failure
72,L47251,L,25.75,35.95,1452,45.5,196,0,No Failure
73,L47252,L,25.75,35.95,1369,44.4,198,0,No Failure
74,L47253,L,25.85,35.95,1592,35,200,0,No Failure
75,L47254,L,25.75,35.85,1601,32.3,202,0,No Failure
76,L47255,L,25.65,35.75,1379,46.7,204,0,No Failure
77,L47256,L,25.65,35.75,1461,47.9,206,0,No Failure
78,L47257,L,25.65,35.75,1455,41.3,208,1,Tool Wear Failure
79,L47258,L,25.65,35.75,1398,51.5,0,0,No Failure
80,L47259,L,25.65,35.75,1402,37.9,2,0,No Failure
81,H29494,H,25.65,35.65,1445,49.9,4,0,No Failure
82,L47261,L,25.75,35.75,1450,47.5,9,0,No Failure
83,L47262,L,25.75,35.75,1453,40.8,11,0,No Failure
84,L47263,L,25.85,35.85,1469,40.1,13,0,No Failure
85,L47264,L,25.75,35.75,1422,47.6,15,0,No Failure
86,M14945,M,25.85,35.85,1804,26.8,17,0,No Failure
87,H29500,H,25.85,35.85,1436,43.9,20,0,No Failure
88,L47267,L,25.85,35.85,1544,31.8,25,0,No Failure
89,M14948,M,25.85,35.85,1419,45.2,27,0,No Failure
90,M14949,M,25.75,35.75,1487,39.5,30,0,No Failure
91,L47270,L,25.75,35.75,1753,25.8,33,0,No Failure
92,L47271,L,25.75,35.75,1830,24.9,35,0,No Failure
93,M14952,M,25.75,35.75,1727,27.1,37,0,No Failure
94,L47273,L,25.95,35.85,1450,43,40,0,No Failure
95,L47274,L,25.85,35.75,1622,31.9,42,0,No Failure
96,M14955,M,25.85,35.85,1351,52.2,44,0,No Failure
97,M14956,M,25.85,35.85,1575,35.3,47,0,No Failure
98,M14957,M,25.75,35.75,1750,29.9,50,0,No Failure
99,L47278,L,25.75,35.65,1529,32.7,53,0,No Failure
100,L47279,L,25.65,35.65,1523,44.4,55,0,No Failure
101,L47280,L,25.65,35.75,1852,25,57,0,No Failure
102,L47281,L,25.65,35.65,1991,20.7,59,0,No Failure
103,L47282,L,25.65,35.65,1555,40.6,61,0,No Failure
104,M14963,M,25.65,35.65,1441,40.5,63,0,No Failure
105,L47284,L,25.65,35.55,1450,43.4,66,0,No Failure
106,L47285,L,25.65,35.55,1591,31.1,68,0,No Failure
107,L47286,L,25.65,35.55,1445,48.5,70,0,No Failure
108,M14967,M,25.65,35.65,1497,46.8,72,0,No Failure
109,H29522,H,25.75,35.65,1621,32.7,75,0,No Failure
110,L47289,L,25.75,35.55,1572,34.1,80,0,No Failure
111,L47290,L,25.65,35.45,1872,22.5,82,0,No Failure
112,H29525,H,25.55,35.45,1499,43.5,84,0,No Failure
113,M14972,M,25.65,35.55,1498,39.5,89,0,No Failure
114,M14973,M,25.65,35.45,1486,41.9,92,0,No Failure
115,L47294,L,25.65,35.45,1680,29.4,95,0,No Failure
116,L47295,L,25.65,35.45,1431,45.7,97,0,No Failure
117,L47296,L,25.75,35.55,1564,34.1,99,0,No Failure
118,L47297,L,25.65,35.45,1599,33,101,0,No Failure
119,M14978,M,25.65,35.45,1707,28.1,103,0,No Failure
120,L47299,L,25.55,35.35,1467,40.7,106,0,No Failure
121,L47300,L,25.75,35.55,1433,44.7,108,0,No Failure
122,L47301,L,25.75,35.55,1558,41.2,110,0,No Failure
123,L47302,L,25.85,35.65,1310,50.7,112,0,No Failure
124,L47303,L,25.75,35.55,1546,43.4,114,0,No Failure
125,L47304,L,25.75,35.55,1727,29.4,116,0,No Failure
126,L47305,L,25.75,35.45,1560,32.2,118,0,No Failure
127,L47306,L,25.85,35.45,1329,60.5,120,0,No Failure
128,L47307,L,25.75,35.45,1413,46.5,122,0,No Failure
129,L47308,L,25.85,35.45,1587,38.6,124,0,No Failure
130,L47309,L,25.75,35.35,1559,34.3,126,0,No Failure
131,L47310,L,25.65,35.25,1473,41.1,128,0,No Failure
132,L47311,L,25.65,35.25,1737,27.7,130,0,No Failure
133,M14992,M,25.55,35.25,1441,43.2,132,0,No Failure
134,M14993,M,25.55,35.25,1430,49.6,135,0,No Failure
135,L47314,L,25.65,35.25,1369,53,138,0,No Failure
136,M14995,M,25.65,35.35,1711,28.5,140,0,No Failure
137,H29550,H,25.55,35.35,1420,45.7,143,0,No Failure
138,L47317,L,25.55,35.45,1297,55.3,148,0,No Failure
139,H29552,H,25.65,35.45,1449,49.4,150,0,No Failure
140,L47319,L,25.65,35.45,1268,55.8,155,0,No Failure
141,L47320,L,25.65,35.45,1511,36.1,157,0,No Failure
142,L47321,L,25.55,35.35,1544,35.2,159,0,No Failure
143,M15002,M,25.45,35.25,1778,28.2,161,0,No Failure
144,H29557,H,25.45,35.25,1407,50.5,164,0,No Failure
145,M15004,M,25.45,35.25,1391,42.4,169,0,No Failure
146,L47325,L,25.35,35.25,1513,33.6,172,0,No Failure
147,H29560,H,25.35,35.25,1612,36.1,174,0,No Failure
148,L47327,L,25.25,35.25,1515,40.1,179,0,No Failure
149,M15008,M,25.15,35.15,1379,48,181,0,No Failure
150,L47329,L,25.25,35.15,1473,39.9,184,0,No Failure
151,L47330,L,25.25,35.15,1422,42.7,186,0,No Failure
152,M15011,M,25.25,35.05,1463,37.6,188,0,No Failure
153,M15012,M,25.25,35.05,1584,41,191,0,No Failure
154,L47333,L,25.25,35.05,1850,27,194,0,No Failure
155,L47334,L,25.25,35.05,1528,36.2,196,0,No Failure
156,H29569,H,25.25,35.05,1987,19.8,198,0,No Failure
157,M15016,M,25.25,34.95,1495,46,203,0,No Failure
158,H29571,H,25.25,35.05,1478,43.5,206,0,No Failure
159,M15018,M,25.25,35.05,1499,40,211,0,No Failure
160,L47339,L,25.25,35.05,1471,47,214,0,No Failure
161,L47340,L,25.25,35.05,1282,60.7,216,1,Overstrain Failure
162,L47341,L,25.15,34.95,1412,52.3,218,1,Overstrain Failure
163,L47342,L,25.15,34.95,1586,35.5,0,0,No Failure
164,M15023,M,25.25,35.05,1468,43.8,2,0,No Failure
165,M15024,M,25.35,35.15,1440,43.6,5,0,No Failure
166,L47345,L,25.35,35.25,1733,26,8,0,No Failure
167,H29580,H,25.25,35.05,1612,32.6,10,0,No Failure
168,H29581,H,25.25,35.15,1458,42.9,15,0,No Failure
169,L47348,L,25.25,35.15,1433,62.3,20,1,Power Failure
170,L47349,L,25.25,35.15,1318,59.1,22,0,No Failure
171,M15030,M,25.25,35.05,1610,35,24,0,No Failure
172,L47351,L,25.05,34.95,1462,50.8,27,0,No Failure
173,M15032,M,24.95,34.85,1924,20.8,29,0,No Failure
174,M15033,M,25.05,34.85,1591,33.7,32,0,No Failure
175,L47354,L,25.05,34.95,1306,58.3,35,0,No Failure
176,L47355,L,25.05,34.95,1382,43.5,37,0,No Failure
177,L47356,L,25.05,34.95,1618,34.7,39,0,No Failure
178,L47357,L,25.05,35.05,1988,21.4,41,0,No Failure
179,L47358,L,25.05,35.05,1436,50.2,43,0,No Failure
180,L47359,L,25.05,35.15,1304,49.8,45,0,No Failure
181,L47360,L,25.05,35.15,1475,49.9,47,0,No Failure
182,H29595,H,25.05,35.15,1824,24.2,49,0,No Failure
183,M15042,M,24.95,35.05,1342,48.1,54,0,No Failure
184,L47363,L,24.95,35.05,1485,40.7,57,0,No Failure
185,L47364,L,25.05,35.05,1667,30.6,59,0,No Failure
186,L47365,L,25.05,35.05,1446,38.2,61,0,No Failure
187,L47366,L,24.95,35.15,1301,56,63,0,No Failure
188,L47367,L,25.05,35.25,1379,43.1,65,0,No Failure
189,L47368,L,25.15,35.35,1606,33.6,67,0,No Failure
190,M15049,M,25.15,35.25,1539,43.4,69,0,No Failure
191,L47370,L,25.05,35.25,1477,49.9,72,0,No Failure
192,L47371,L,25.05,35.25,1666,34.6,74,0,No Failure
193,H29606,H,25.05,35.25,1398,51.8,76,0,No Failure
194,H29607,H,25.05,35.25,1678,34.6,81,0,No Failure
195,M15054,M,25.05,35.35,2678,10.7,86,1,Power Failure
196,L47375,L,25.15,35.35,1453,42.9,89,0,No Failure
197,H29610,H,25.15,35.45,1432,49.5,91,0,No Failure
198,M15057,M,25.25,35.45,1527,40.9,96,0,No Failure
199,L47378,L,25.25,35.55,1588,35,99,0,No Failure
200,L47379,L,25.25,35.45,1433,47.1,101,0,No Failure
201,L47380,L,25.25,35.45,1609,35,103,0,No Failure
202,L47381,L,25.15,35.35,1575,41.2,105,0,No Failure
203,M15062,M,25.25,35.35,1636,35.7,107,0,No Failure
204,L47383,L,25.25,35.35,1490,37.9,110,0,No Failure
205,L47384,L,25.25,35.35,1741,32.8,112,0,No Failure
206,M15065,M,25.35,35.45,1344,53,114,0,No Failure
207,L47386,L,25.35,35.55,1609,35.3,117,0,No Failure
208,M15067,M,25.25,35.55,1421,60.7,119,1,Power Failure
209,L47388,L,25.25,35.45,1591,36.7,122,0,No Failure
210,L47389,L,25.25,35.45,1477,44,124,0,No Failure
211,L47390,L,25.25,35.55,1523,36.1,126,0,No Failure
212,L47391,L,25.35,35.55,1575,33.9,128,0,No Failure
213,H29626,H,25.25,35.55,1344,52.9,130,0,No Failure
214,L47393,L,25.25,35.55,1386,44.9,135,0,No Failure
215,M15074,M,25.15,35.45,1589,37.1,137,0,No Failure
216,L47395,L,25.15,35.45,1548,40.3,140,0,No Failure
217,L47396,L,25.15,35.45,1499,38.3,142,0,No Failure
218,L47397,L,25.15,35.35,1664,31.6,144,0,No Failure
219,L47398,L,25.15,35.45,1447,38.1,146,0,No Failure
220,M15079,M,25.15,35.35,1434,46.2,148,0,No Failure
221,L47400,L,25.15,35.35,1416,52.7,151,0,No Failure
222,H29635,H,25.25,35.35,1827,24.3,153,0,No Failure
223,L47402,L,25.25,35.45,1304,45,158,0,No Failure
224,L47403,L,25.25,35.45,1569,34.4,160,0,No Failure
225,L47404,L,25.15,35.45,1584,29.3,162,0,No Failure
226,L47405,L,25.15,35.35,1362,53.8,164,0,No Failure
227,L47406,L,25.15,35.25,1329,49.2,166,0,No Failure
228,L47407,L,25.15,35.35,1539,36.1,168,0,No Failure
229,M15088,M,25.15,35.35,1629,37.1,170,0,No Failure
230,L47409,L,25.15,35.35,1538,32.2,173,0,No Failure
231,L47410,L,25.15,35.45,1570,34.8,175,0,No Failure
232,L47411,L,25.15,35.25,1408,43.1,177,0,No Failure
233,L47412,L,25.05,35.25,1424,47.6,179,0,No Failure
234,L47413,L,25.05,35.25,1512,34.9,181,0,No Failure
235,L47414,L,25.05,35.25,1478,42.9,183,0,No Failure
236,M15095,M,24.95,35.15,1680,33.7,185,0,No Failure
237,L47416,L,24.95,35.15,1495,38.7,188,0,No Failure
238,M15097,M,24.85,34.95,1552,36.6,190,0,No Failure
239,L47418,L,24.75,34.95,1393,50.3,193,0,No Failure
240,L47419,L,24.85,35.05,1611,30.6,195,0,No Failure
241,M15100,M,24.85,34.95,1339,51.6,197,0,No Failure
242,L47421,L,24.85,34.95,1777,24.3,200,0,No Failure
243,L47422,L,24.85,35.05,1348,58.8,202,1,Overstrain Failure
244,L47423,L,24.85,35.05,1442,44.1,204,0,No Failure
245,M15104,M,24.85,35.05,1395,49.1,206,0,No Failure
246,M15105,M,24.75,34.95,1627,31.4,209,0,No Failure
247,L47426,L,24.75,34.95,1585,33.5,212,0,No Failure
248,L47427,L,24.85,35.05,1469,45.5,214,0,No Failure
249,L47428,L,24.85,35.15,1362,56.8,216,1,Overstrain Failure
250,L47429,L,24.85,35.15,1405,56.2,218,1,Overstrain Failure
251,L47430,L,24.85,35.15,1662,32.7,0,0,No Failure
252,M15111,M,24.85,35.05,1466,42.6,2,0,No Failure
253,L47432,L,24.85,35.05,1620,35.8,5,0,No Failure
254,L47433,L,24.85,35.05,1357,48.2,7,0,No Failure
255,L47434,L,24.85,35.05,1514,37.9,9,0,No Failure
256,L47435,L,24.85,35.05,1489,40.4,11,0,No Failure
257,L47436,L,24.95,35.15,1331,63,13,0,No Failure
258,L47437,L,24.85,34.85,1615,29.5,15,0,No Failure
259,L47438,L,24.95,35.05,1482,37.9,17,0,No Failure
260,M15119,M,24.95,35.05,1420,63.9,19,1,Power Failure
261,M15120,M,25.05,35.15,1522,49.1,22,0,No Failure
262,L47441,L,24.95,35.05,1654,32.1,25,0,No Failure
263,M15122,M,24.95,35.05,1736,26.8,27,0,No Failure
264,M15123,M,24.85,34.95,1587,32.3,30,0,No Failure
265,L47444,L,24.95,35.05,1390,47.5,33,0,No Failure
266,L47445,L,24.85,34.95,1454,37.1,35,0,No Failure
267,H29680,H,24.85,34.95,1440,43.7,37,0,No Failure
268,L47447,L,24.75,34.85,1954,21.1,42,0,No Failure
269,H29682,H,24.75,34.85,1800,24.8,44,0,No Failure
270,L47449,L,24.85,34.85,1524,37,49,0,No Failure
271,H29684,H,24.85,34.85,1520,39.6,51,0,No Failure
272,M15131,M,24.95,34.95,1452,40.8,56,0,No Failure
273,L47452,L,24.95,34.95,1484,40.4,59,0,No Failure
274,L47453,L,24.95,34.85,1426,46,61,0,No Failure
275,L47454,L,24.95,34.85,1652,28.5,63,0,No Failure
276,L47455,L,24.85,34.85,1401,54.7,65,0,No Failure
277,M15136,M,24.85,34.75,1750,26.6,67,0,No Failure
278,H29691,H,24.85,34.85,1479,50.7,70,0,No Failure
279,M15138,M,24.85,34.85,1620,29.4,75,0,No Failure
280,L47459,L,24.85,34.95,1819,23.4,78,0,No Failure
281,M15140,M,24.95,34.95,1456,43.7,80,0,No Failure
282,L47461,L,24.95,34.85,1626,36.5,83,0,No Failure
283,M15142,M,24.95,34.95,1390,49.8,85,0,No Failure
284,L47463,L,25.05,35.05,1469,43,88,0,No Failure
285,L47464,L,25.05,35.15,2051,19.2,90,0,No Failure
286,L47465,L,25.05,35.15,1568,36,92,0,No Failure
287,L47466,L,25.05,35.15,1589,33.2,94,0,No Failure
288,L47467,L,25.05,35.15,1805,31.6,96,0,No Failure
289,H29702,H,25.05,35.25,1385,42.2,98,0,No Failure
290,L47469,L,24.95,35.25,1436,46.7,103,0,No Failure
291,L47470,L,24.95,35.25,1438,45.6,105,0,No Failure
292,L47471,L,24.85,35.15,1473,42.6,107,0,No Failure
293,L47472,L,24.95,35.25,1335,40.2,109,0,No Failure
294,H29707,H,24.95,35.35,1392,44.8,111,0,No Failure
295,M15154,M,24.95,35.35,1372,51.1,116,0,No Failure
296,M15155,M,24.95,35.45,1716,30.7,119,0,No Failure
297,L47476,L,24.85,35.35,1395,46.2,122,0,No Failure
298,L47477,L,24.85,35.35,1713,25.3,124,0,No Failure
299,H29712,H,24.75,35.35,2129,18.7,126,0,No Failure
300,M15159,M,24.65,35.15,1567,35.6,131,0,No Failure
301,L47480,L,24.65,35.25,1622,38.3,134,0,No Failure
302,L47481,L,24.55,35.25,1740,27.1,136,0,No Failure
303,H29716,H,24.65,35.25,1512,35.1,138,0,No Failure
304,M15163,M,24.65,35.25,1479,43.5,143,0,No Failure
305,L47484,L,24.65,35.25,1737,27.5,146,0,No Failure
306,L47485,L,24.65,35.25,2129,19.2,148,0,No Failure
307,L47486,L,24.65,35.25,1374,47.1,150,0,No Failure
308,M15167,M,24.65,35.25,1579,36.6,152,0,No Failure
309,L47488,L,24.75,35.35,1305,47.2,155,0,No Failure
310,M15169,M,24.75,35.35,1449,40.8,157,0,No Failure
311,H29724,H,24.85,35.45,1526,41.8,160,0,No Failure
312,M15171,M,24.85,35.45,1453,44.1,165,0,No Failure
313,L47492,L,24.75,35.45,1468,36,168,0,No Failure
314,L47493,L,24.85,35.45,1313,50.8,170,0,No Failure
315,M15174,M,24.75,35.35,1300,53,172,0,No Failure
316,L47495,L,24.75,35.25,1646,40.6,175,0,No Failure
317,L47496,L,24.65,35.25,1714,33.2,177,0,No Failure
318,L47497,L,24.65,35.25,1685,28.4,179,0,No Failure
319,L47498,L,24.65,35.25,1512,39.9,181,0,No Failure
320,L47499,L,24.65,35.25,1612,32.1,183,0,No Failure
321,H29734,H,24.65,35.25,1550,38.2,185,0,No Failure
322,L47501,L,24.65,35.25,1518,32.5,190,0,No Failure
323,L47502,L,24.65,35.35,1448,40,192,0,No Failure
324,L47503,L,24.65,35.35,1561,46.3,194,0,No Failure
325,M15184,M,24.65,35.35,1488,41.9,196,0,No Failure
326,L47505,L,24.65,35.35,1699,27.8,199,0,No Failure
327,L47506,L,24.55,35.35,1501,41.4,201,0,No Failure
328,L47507,L,24.55,35.35,1373,56.7,203,1,Overstrain Failure
329,H29742,H,24.45,35.25,1703,31.4,205,0,No Failure
330,H29743,H,24.55,35.35,1720,29.9,210,0,No Failure
331,M15190,M,24.45,35.25,1398,41.9,215,0,No Failure
332,M15191,M,24.45,35.25,1391,51.9,218,0,No Failure
333,M15192,M,24.45,35.15,1538,40.2,0,0,No Failure
334,L47513,L,24.35,35.05,1647,31.3,3,0,No Failure
335,M15194,M,24.35,34.95,1469,44.8,5,0,No Failure
336,L47515,L,24.25,34.95,1749,25.9,8,0,No Failure
337,M15196,M,24.45,35.05,1995,20.5,10,0,No Failure
338,L47517,L,24.45,35.15,1742,27.7,13,0,No Failure
339,L47518,L,24.35,35.05,1563,38.2,15,0,No Failure
340,M15199,M,24.35,35.05,1713,32.2,17,0,No Failure
341,L47520,L,24.25,34.95,1474,39.4,20,0,No Failure
342,M15201,M,24.25,35.05,1530,32.6,22,0,No Failure
343,L47522,L,24.25,35.05,1471,46.5,25,0,No Failure
344,L47523,L,24.35,35.15,1388,48.6,27,0,No Failure
345,M15204,M,24.35,35.05,2448,13.8,29,0,No Failure
346,L47525,L,24.35,35.15,1585,32.9,32,0,No Failure
347,M15206,M,24.35,35.15,1459,45.2,34,0,No Failure
348,L47527,L,24.35,35.15,1544,40.8,37,0,No Failure
349,L47528,L,24.45,35.15,1617,31.7,39,0,No Failure
350,L47529,L,24.45,35.15,1595,34.3,41,0,No Failure
351,H29764,H,24.45,35.15,1400,44.3,43,0,No Failure
352,M15211,M,24.45,35.25,1611,31,48,0,No Failure
353,M15212,M,24.45,35.25,1507,46,51,0,No Failure
354,H29767,H,24.35,35.15,1674,30,54,0,No Failure
355,L47534,L,24.45,35.15,1658,34.3,59,0,No Failure
356,L47535,L,24.45,35.15,1623,36.9,61,0,No Failure
357,M15216,M,24.45,35.25,1398,48.9,63,0,No Failure
358,L47537,L,24.45,35.25,1517,34.2,66,0,No Failure
359,M15218,M,24.45,35.15,1467,36.7,68,0,No Failure
360,M15219,M,24.45,35.15,1567,34.6,71,0,No Failure
361,M15220,M,24.35,35.15,1521,38.2,74,0,No Failure
362,L47541,L,24.35,35.15,1596,36.8,77,0,No Failure
363,H29776,H,24.45,35.15,1640,30.9,79,0,No Failure
364,L47543,L,24.45,35.15,1438,47.8,84,0,No Failure
365,L47544,L,24.45,35.25,1407,55.2,86,0,No Failure
366,L47545,L,24.45,35.25,1353,57.5,88,0,No Failure
367,M15226,M,24.45,35.35,1552,40.9,90,0,No Failure
368,M15227,M,24.45,35.25,1569,38.3,93,0,No Failure
369,L47548,L,24.35,35.25,1489,39.5,96,0,No Failure
370,H29783,H,24.35,35.25,1587,36.1,98,0,No Failure
371,M15230,M,24.35,35.15,1622,37.2,103,0,No Failure
372,L47551,L,24.35,35.25,1604,38.1,106,0,No Failure
373,M15232,M,24.25,35.15,1405,51.7,108,0,No Failure
374,L47553,L,24.25,35.15,1412,42,111,0,No Failure
375,L47554,L,24.25,35.15,1431,43,113,0,No Failure
376,L47555,L,24.25,35.05,1533,37.4,115,0,No Failure
377,M15236,M,24.25,35.05,1401,51.9,117,0,No Failure
378,M15237,M,24.25,35.05,1424,53.9,120,0,No Failure
379,L47558,L,24.15,35.05,1754,29.4,123,0,No Failure
380,L47559,L,24.15,35.05,1754,26.8,125,0,No Failure
381,L47560,L,24.35,35.15,2564,12.8,127,1,Power Failure
382,L47561,L,24.35,35.35,1546,40.4,129,0,No Failure
383,L47562,L,24.35,35.35,1335,48,131,0,No Failure
384,M15243,M,24.35,35.45,1842,27,133,0,No Failure
385,L47564,L,24.35,35.35,1712,26.8,136,0,No Failure
386,M15245,M,24.45,35.45,1414,45.4,138,0,No Failure
387,L47566,L,24.45,35.55,1319,50.9,141,0,No Failure
388,L47567,L,24.55,35.55,1249,60.4,143,0,No Failure
389,L47568,L,24.45,35.55,1455,48.2,145,0,No Failure
390,M15249,M,24.45,35.55,1408,54.8,147,0,No Failure
391,L47570,L,24.45,35.55,1460,46.7,150,0,No Failure
392,L47571,L,24.45,35.45,1491,38.1,152,0,No Failure
393,M15252,M,24.45,35.35,1490,43.4,154,0,No Failure
394,M15253,M,24.35,35.25,1350,52.2,157,0,No Failure
395,L47574,L,24.35,35.25,1528,39.9,160,0,No Failure
396,L47575,L,24.25,35.15,1571,37.7,162,0,No Failure
397,L47576,L,24.25,35.15,1490,42.6,164,0,No Failure
398,M15257,M,24.25,35.15,1774,28.9,166,0,No Failure
399,H29812,H,24.25,35.15,1502,43.6,169,0,No Failure
400,L47579,L,24.25,35.25,1392,49.7,174,0,No Failure
401,L47580,L,24.25,35.35,2100,16.9,176,0,No Failure
402,L47581,L,24.35,35.35,1722,30.4,178,0,No Failure
403,L47582,L,24.25,35.45,1678,32.3,180,0,No Failure
404,L47583,L,24.15,35.45,1273,59.8,182,0,No Failure
405,L47584,L,24.15,35.45,1297,45.9,184,0,No Failure
406,L47585,L,24.15,35.35,1350,57.6,186,0,No Failure
407,L47586,L,24.25,35.45,1439,51.9,188,0,No Failure
408,M15267,M,24.25,35.35,1600,42.1,190,0,No Failure
409,M15268,M,24.25,35.45,1434,44.4,193,0,No Failure
410,L47589,L,24.25,35.45,1459,41.3,196,0,No Failure
411,M15270,M,24.35,35.45,1472,44.9,198,0,No Failure
412,L47591,L,24.35,35.55,1429,44.3,201,0,No Failure
413,L47592,L,24.35,35.45,1388,48.2,203,0,No Failure
414,L47593,L,24.25,35.25,1573,34.5,205,0,No Failure
415,L47594,L,24.25,35.25,1588,32.5,207,0,No Failure
416,L47595,L,24.35,35.25,1511,42.8,209,0,No Failure
417,L47596,L,24.25,35.35,1495,37.8,211,0,No Failure
418,L47597,L,24.25,35.25,1394,50.1,213,0,No Failure
419,L47598,L,24.25,35.25,2151,17.7,0,0,No Failure
420,M15279,M,24.15,35.15,1501,38.2,2,0,No Failure
421,M15280,M,24.15,35.15,1301,39.6,5,0,No Failure
422,M15281,M,24.15,35.15,1657,31.1,8,0,No Failure
423,L47602,L,24.15,35.15,1333,55.2,11,0,No Failure
424,L47603,L,24.15,35.15,1484,43.9,13,0,No Failure
425,L47604,L,24.15,35.25,1430,45.7,15,0,No Failure
426,M15285,M,24.15,35.25,1665,28.9,17,0,No Failure
427,L47606,L,24.25,35.35,1501,44.9,20,0,No Failure
428,M15287,M,24.35,35.35,1496,42.2,22,0,No Failure
429,M15288,M,24.45,35.45,1595,36.9,25,0,No Failure
430,L47609,L,24.35,35.45,1208,62.3,28,0,No Failure
431,L47610,L,24.35,35.45,1596,37.1,30,0,No Failure
432,L47611,L,24.35,35.35,1446,41.9,32,0,No Failure
433,M15292,M,24.45,35.35,1466,39.7,34,0,No Failure
434,M15293,M,24.45,35.35,1848,23.7,37,0,No Failure
